site_code,latitude,longitude,species_name,year,count
BI-S1,-41.87447,148.31433,Aracana aurita,1992,0
BI-S1,-41.87447,148.31433,Aracana aurita,1993,0.03125
BI-S1,-41.87447,148.31433,Aracana aurita,1994,0
BI-S1,-41.87447,148.31433,Aracana aurita,1995,NA
BI-S1,-41.87447,148.31433,Aracana aurita,1996,NA
BI-S1,-41.87447,148.31433,Aracana aurita,1997,0.03125
BI-S1,-41.87447,148.31433,Aracana aurita,1998,NA
BI-S1,-41.87447,148.31433,Aracana aurita,1999,0
BI-S1,-41.87447,148.31433,Aracana aurita,2000,0
BI-S1,-41.87447,148.31433,Aracana aurita,2001,0
BI-S1,-41.87447,148.31433,Aracana aurita,2002,0.0625
BI-S1,-41.87447,148.31433,Aracana aurita,2003,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2004,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2005,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2006,0
BI-S1,-41.87447,148.31433,Aracana aurita,2007,0
BI-S1,-41.87447,148.31433,Aracana aurita,2008,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2009,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2010,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2011,0
BI-S1,-41.87447,148.31433,Aracana aurita,2012,0.0625
BI-S1,-41.87447,148.31433,Aracana aurita,2013,0
BI-S1,-41.87447,148.31433,Aracana aurita,2014,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2015,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2016,0
BI-S1,-41.87447,148.31433,Aracana aurita,2017,0
BI-S1,-41.87447,148.31433,Aracana aurita,2018,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2019,0.0625
BI-S1,-41.87447,148.31433,Aracana aurita,2020,NA
BI-S1,-41.87447,148.31433,Aracana aurita,2021,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1992,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1993,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1994,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1995,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1996,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1997,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1998,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,1999,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2000,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2001,0.125
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2002,2.3125
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2003,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2004,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2005,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2006,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2007,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2008,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2009,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2010,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2011,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2012,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2013,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2014,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2015,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2016,0.4375
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2017,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2018,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2019,0
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2020,NA
BI-S1,-41.87447,148.31433,Atypichthys strigatus,2021,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1992,0.4375
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1993,1
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1994,1
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1995,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1996,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1997,0.8125
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1998,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,1999,0.375
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2000,0.4375
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2001,1.25
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2002,0.75
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2003,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2004,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2005,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2006,1.75
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2007,2
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2008,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2009,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2010,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2011,0.875
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2012,1.6875
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2013,0.625
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2014,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2015,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2016,2.375
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2017,0.9375
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2018,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2019,1.9375
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2020,NA
BI-S1,-41.87447,148.31433,Cheilodactylus spectabilis,2021,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,1992,0.125
BI-S1,-41.87447,148.31433,Neoodax balteatus,1993,0.09375
BI-S1,-41.87447,148.31433,Neoodax balteatus,1994,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,1995,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,1996,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,1997,0.03125
BI-S1,-41.87447,148.31433,Neoodax balteatus,1998,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,1999,0.125
BI-S1,-41.87447,148.31433,Neoodax balteatus,2000,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2001,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2002,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2003,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2004,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2005,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2006,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2007,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2008,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2009,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2010,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2011,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2012,0.0625
BI-S1,-41.87447,148.31433,Neoodax balteatus,2013,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2014,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2015,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2016,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2017,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2018,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2019,0
BI-S1,-41.87447,148.31433,Neoodax balteatus,2020,NA
BI-S1,-41.87447,148.31433,Neoodax balteatus,2021,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,1992,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,1993,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,1994,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,1995,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,1996,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,1997,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,1998,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,1999,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,2000,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,2001,0.3125
BI-S1,-41.87447,148.31433,Scorpis lineolata,2002,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,2003,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2004,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2005,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2006,0.4375
BI-S1,-41.87447,148.31433,Scorpis lineolata,2007,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,2008,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2009,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2010,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2011,0.3125
BI-S1,-41.87447,148.31433,Scorpis lineolata,2012,0.1875
BI-S1,-41.87447,148.31433,Scorpis lineolata,2013,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,2014,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2015,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2016,1.9375
BI-S1,-41.87447,148.31433,Scorpis lineolata,2017,0
BI-S1,-41.87447,148.31433,Scorpis lineolata,2018,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2019,0.6875
BI-S1,-41.87447,148.31433,Scorpis lineolata,2020,NA
BI-S1,-41.87447,148.31433,Scorpis lineolata,2021,NA
BI-S1,-41.87447,148.31433,Trachurus declivis,1992,0
BI-S1,-41.87447,148.31433,Trachurus declivis,1993,6.28125
BI-S1,-41.87447,148.31433,Trachurus declivis,1994,0
BI-S1,-41.87447,148.31433,Trachurus declivis,1995,NA
BI-S1,-41.87447,148.31433,Trachurus declivis,1996,NA
